id,date,author,quote
7729,2021-08-17,"Serge","""Why would they give us hearts if they didn't mean anything?"""
7765,2021-09-07,"Serge","""Don't let chat lead you astray."""
7794,2021-09-28,"Serge","""I don't wanna pull a James."""
7795,2021-10-02,"Serge","""How was I supposed to know to look left??"""
7806,2021-10-12,"Serge","""Turns out fish got hands."""
7807,2021-10-12,"Serge, to James","""If you want to be our dedicated twerker, I won't stop you."""
7816,2021-10-20,"Serge","""A perfect square is not the same as a prime number, right?"""
7886,2021-11-30,"Serge, to James","""I'm not ready for you to be naked yet."""
7890,2021-12-07,"Serge","""Yes, I always double blast."""
7902,2021-12-21,"Serge","""Everything you have done has made it worse."""
7929,2022-01-04,"Serge","""Please, I beg of you, go away cheeseburgers."""
7932,2022-01-07,"Serge","""I was Twitch Chat there for a second, and I apologize."""
7942,2022-01-22,"Serge","""Oh, ooohhhhhh. That is creepy."""
7946,2022-01-24,"Serge","""It's butt is open! DPSing the butt!"""
8041,2022-04-19,"Serge","""You want some alone time? get a boat!"""
8065,2022-05-10,"Serge","""Trust me, I've done things for aesthetics before."""
8073,2022-05-17,"Serge","""This is mega proggers!... is a sentence I just said in the year 2022."""
8079,2022-05-21,"Serge","""I'm a sweet potato. Oh, buckets!"""
8117,2022-06-21,"Serge","""The pig is not ignoring you James, it's actively gaming."""
8132,2022-07-11,"Serge","""Maybe I don't know the value of my own feet."""
8133,2022-07-11,"Serge","""Confidence does not mean correctness."""
8147,2022-07-26,"Serge","""I've never counted a day in my life."""
8154,2022-08-02,"Serge","""We'll burger you the rest of the way."""
8155,2022-08-02,"Serge, on chat","""They're wrong."""
8156,2022-08-02,"Serge","""The problem is you, James!"""
8160,2022-08-09,"Serge","""James is the best vault hunter I've ever met."""
8188,2022-08-22,"Serge","""Started from the bottom and I'm still going to be there afterwards, probably."""
8189,2022-08-23,"Serge","""What are these pants?!"""
8202,2022-09-02,"Serge","""Wake up, new skins just dropped."""
8203,2022-09-02,"Serge","""oh isn't this adorable, my eyes are bleeding."""
8204,2022-09-02,"Serge","""The first thing you're gonna do James is give me money."""
8207,2022-09-02,"Serge, imitating Ian","""Welcome to Tinker Tailor Solder Fry. Today we're pickling prunes!"""
8210,2022-09-03,"Serge","""I'm not here to think. I'm here to lead people to spiritual enlightenment, and that's it."""
8218,2022-09-06,"Serge, to James","""Stop digging holes in my base!"""
8220,2022-09-10,"Serge","""I've never heard of hubris, all I do is win."""
8222,2022-09-10,"Serge","""You do not want the gods to notice you. Trust me. Trust me."""
8223,2022-09-10,"Serge","""I'm also very handsome and modest. Thank you."""
8229,2022-09-13,"Serge","""Come for the Minecraft, stay for the dunks on capitalism!"""
8230,2022-09-16,"Serge","""Let's buy a backup Snerge."""
8240,2022-09-20,"Serge","""Don't use the passive voice on me."""
8284,2022-10-18,"Serge","""I would like to be in a world that isn't broken."""
8305,2022-11-04,"Serge","""I'm going to unapologize for my apology. Everything is perfect."""
8310,2022-11-08,"Serge","""I needed that translated to human speak."""
8319,2022-11-13,"Serge","""Horses are the deer of the sea."""
8320,2022-11-13,"Serge","""If I find people unfunny I'll just get rid of them."""
8321,2022-11-13,"Serge, to James","""My level is I win, your level is you pay a lot of money..."""
8334,2022-11-14,"Serge","""The most important thing as a streamer is to take the best jokes and take credit for them."""
8349,2022-11-16,"Serge","""Why do you like talking into a microphone? It's weird!"""
8397,2022-12-20,"Serge","""I'm doing very good, everyone should applaud me."""
8413,2022-12-30,"Serge, to Wheeler","""Do I lose 'cause I questioned you?"""
8433,2023-01-21,"Serge","""Everything I know is second-hand from Chat. Everything."""
8438,2023-01-23,"Serge","""Yeah the weapon you just get, I think it has a cool turndown."""
8441,2023-01-24,"Serge","""It feels like my darkness is just darker."""
8447,2023-01-28,"Serge","""Don't make fun of me when I'm eating cookie."""
8460,2023-02-08,"Serge","""It's a weird day when people tell me to be more like Chat."""
8473,2023-02-20,"Serge","""Come back, weird space clam!"""
8517,2023-04-18,"Serge","""I've got my two badgers and that's all I need."""
8533,2023-05-12,"Serge","""If you have to ask who baby is, you're probably baby."""
8555,2023-06-06,"Serge","""The rules are all fun and we're in charge."""
8556,2023-06-10,"Serge","""There's nothing in the rules about Gandalfing wrong."""
8589,2023-07-11,"Serge","""In my defence, I trusted Uno."""
8592,2023-07-17,"Serge","""Soap is bad. Soap is a trap."""
8593,2023-07-17,"Serge","""Oh, please don't mistake me for a gamer."""
8596,2023-07-18,"Serge","""Look at them! they're swimming around with their little faces!"""
8617,2023-08-08,"Serge","""No one needs to curse James, James is there to curse James."""
8619,2023-08-12,"Serge","""Call me ""8 Sausage"" Yager."""
8626,2023-08-19,"Serge","""We've spent hours waiting for goats to breed."""
8638,2023-08-29,"Serge","""If I'm wrong, it's going to be hilarious."""
8639,2023-09-01,"Serge","""Okay, first order of business: Meow."""
8652,2023-09-26,"Serge","""We're playing video games. At the end of the day, this is supposed to be fun too."""
8660,2023-09-30,"Serge","""Tastes like Alberta."""
8662,2023-10-03,"Serge","""Be the Zamboni you want to see in the world."""
8737,2023-10-31,"Serge","""Just assume I'm doing a good job."""
8738,2023-10-31,"Serge","""I refuse to acknowledge that I might be wrong."""
8740,2023-11-03,"Serge, about Wheeler, urgently","""Just say "no" to everything he says!"""
8853,2023-11-28,"Serge","""My orbs are a gift to the world."""
8867,2023-12-19,"Serge","""People told me to kite, so I have fled."""
8874,2023-12-27,"Serge","""Coffee's legit good."""
8876,2023-12-29,"Serge","""I would not first-pick ""foot""."""
8898,2024-01-23,"Serge","""I'm gonna start evolving sheep into their final form of bed."""
8910,2024-02-06,"Serge","""yeah I get greedy every now and then."""
8932,2024-02-27,"Serge","""If there's one thing I know about this community, it's that they love toilets."""
8951,2024-03-19,"Serge","""It's okay. There's all this blood here."""
8952,2024-03-19,"Serge","""'Let the viewer decide?' god no."""
9046,2024-07-15,"Serge","""What is wrong with your hole?"""
9071,2024-08-02,"Serge","""Attacking frees up the monkey."""
9087,2024-09-06,"Serge","""Chat, please! Not now! Dads are fighting!"""
9101,2024-09-28,"Serge","""There is so much pumpkin in my nose."""
9123,2024-10-22,"Serge","""I've never met a problem that couldn't be holed."""
9129,2024-11-05,"Serge","""Are you big-splaining to me?"""
9208,2024-12-10,"Serge","""The only thing that will make me feel good about myself is diamonds."""
9239,2025-01-14,"Serge","""With enough doors you can attack and dethrone God."""
9256,2025-02-11,"Serge","""Can't believe James killed a man for his pants."""
9267,2025-02-28,"Serge","""Chat, don't try to do math. It's not a good look."""
9280,2025-03-21,"Serge","""I'm just a player with a deck that has way too many game objects."""
9294,2025-04-01,"Serge","""This is so good I wish it was better."""
9307,2025-05-13,"Serge","""I can not bonemeal to completion."""
9321,2025-05-31,"Serge","""Stop yappin', start yummin'!"""
9360,2025-08-01,"Serge, to Wheeler","""You've got two perfectly serviceable hands to play with yourself."""
9387,2025-09-01,"Serge, to Nelly","""Eat the fruit, I'll pull the berries out of you."""
